time,temperature,Altitude (m),longitude,latitude
13/09/2023 12:46:18,14.534 °C,622.324628949165,7.25247824430699,61.64153937526
13/09/2023 12:46:20,14.528 °C,622.606821417809,7.25245281830576,61.6415402140599
13/09/2023 12:46:22,14.524 °C,623.01479613781,7.25242904225888,61.6415475858175
13/09/2023 12:46:24,14.520 °C,623.429390907288,7.25240535305784,61.6415553014194
13/09/2023 12:46:26,14.514 °C,623.872347831726,7.2523866887459,61.6415655874189
13/09/2023 12:46:28,14.508 °C,624.349969983101,7.25237416594246,61.6415790150168
13/09/2023 12:46:30,14.504 °C,624.827592015266,7.25236164314265,61.6415924426183
13/09/2023 12:46:32,14.498 °C,625.568199157715,7.25236236144019,61.6416087262987
13/09/2023 12:46:34,14.492 °C,626.322647094727,7.25236377663987,61.6416251602968
13/09/2023 12:46:36,14.487 °C,627.096420288086,7.25236982521892,61.6416423503033
13/09/2023 12:46:38,14.482 °C,627.893812656403,7.25238153681858,61.6416604643018
13/09/2023 12:46:40,14.478 °C,628.691205501556,7.25239324842187,61.6416785783076
13/09/2023 12:46:42,14.474 °C,629.489312410355,7.25240407727688,61.6416962552976
13/09/2023 12:46:44,14.469 °C,630.287456989288,7.2524148596749,61.6417139092955
13/09/2023 12:46:46,14.465 °C,631.011593103409,7.2524187518593,61.6417298230626
13/09/2023 12:46:48,14.459 °C,631.645274877548,7.25241422265935,61.6417436098636
13/09/2023 12:46:50,14.455 °C,632.278956413269,7.25240969345941,61.6417573966646
13/09/2023 12:46:52,14.452 °C,632.65574836731,7.25239229670115,61.6417686199748
13/09/2023 12:46:54,14.448 °C,633.019019842148,7.25237422270584,61.6417797083741
13/09/2023 12:46:56,14.443 °C,633.268143564463,7.25235514951783,61.6417905267808
13/09/2023 12:46:58,14.439 °C,633.377752929926,7.25233485511853,61.6418010151792
13/09/2023 12:47:00,14.435 °C,633.487362265587,7.25231456071924,61.6418115035776
13/09/2023 12:47:02,14.430 °C,633.566226541996,7.25230113900398,61.6418232034157
13/09/2023 12:47:04,14.426 °C,633.643472671509,7.25228807899839,61.6418349670203
13/09/2023 12:47:06,14.422 °C,633.903126955032,7.25227738545982,61.6418468096381
13/09/2023 12:47:08,14.417 °C,634.385724425316,7.25226958426174,61.641858748837
13/09/2023 12:47:10,14.413 °C,634.868322014809,7.25226178306184,61.6418706880322
13/09/2023 12:47:12,14.408 °C,635.757471799851,7.25225486079944,61.6418833382195
13/09/2023 12:47:14,14.404 °C,636.668018579483,7.2522479847994,61.6418960258197
13/09/2023 12:47:16,14.400 °C,637.609519958496,7.25224404946016,61.6419093243349
13/09/2023 12:47:18,14.394 °C,638.588856220245,7.25224370826004,61.6419233695378
