Meﬂstellenbeschreibung:
Logger Seriennummer   :080032322731
Logging Methode: Augenblickswerte
Messintervall: 05 min Speicherintervall: 00:05:00 Messungen: 1
Datum	Zeit	  1.Temperatur    [∞C]	  2.rel.Feuchte    [%]	
13.09.23	14:50:00	   9,69963	   46,7689	
13.09.23	14:55:00	   8,90842	   49,2491	
13.09.23	15:00:00	     9,558	   47,6389	
13.09.23	15:05:00	   9,69963	   46,9093	
13.09.23	15:10:00	   9,89988	   46,3996	
13.09.23	15:15:00	   9,68987	   47,5092	
13.09.23	15:20:00	   9,53846	   47,6694	
13.09.23	15:25:00	   10,0781	   46,2393	
13.09.23	15:30:00	   9,48962	   48,5897	
13.09.23	15:35:00	   8,57875	   50,9997	
13.09.23	15:40:00	   8,72772	   50,8898	
13.09.23	15:45:00	   8,26862	    51,949	
13.09.23	15:50:00	    8,4884	   50,8394	
13.09.23	15:55:00	   8,61783	   50,3098	
13.09.23	16:00:00	   8,65934	   49,6688	
13.09.23	16:05:00	   8,27839	   51,5797	
13.09.23	16:10:00	    8,1978	     51,54	
13.09.23	16:15:00	   8,83761	   48,9591	
13.09.23	16:20:00	   8,57875	   49,7894	
13.09.23	16:25:00	   8,57875	   50,1999	
13.09.23	16:30:00	   8,66911	   49,7299	
13.09.23	16:35:00	    8,8083	   48,9789	
13.09.23	16:40:00	   8,62759	   50,0198	
13.09.23	16:45:00	   8,66911	    49,739	
13.09.23	16:50:00	   8,65934	   49,7085	
13.09.23	16:55:00	   8,53968	   51,0195	
13.09.23	17:00:00	    8,5177	    51,369	
13.09.23	17:05:00	   8,41758	   52,0085	
13.09.23	17:10:00	    8,4591	   51,8086	
13.09.23	17:15:00	   8,04884	   53,9286	
13.09.23	17:20:00	   8,06838	   53,6294	
13.09.23	17:25:00	         8	    53,869	
13.09.23	17:30:00	   8,00977	   53,6798	
13.09.23	17:35:00	    8,1978	   52,6786	
13.09.23	17:40:00	   8,14896	   53,0998	
13.09.23	17:45:00	   8,47863	   50,9692	
13.09.23	17:50:00	    8,6398	   49,1697	
13.09.23	17:55:00	   8,17827	   52,9487	
13.09.23	18:00:00	   8,00977	   54,3193	
13.09.23	18:05:00	   8,10989	   53,6691	
13.09.23	18:10:00	   7,74847	   54,6886	
13.09.23	18:15:00	   7,65812	   55,2091	
13.09.23	18:20:00	   7,69963	   54,3895	
13.09.23	18:25:00	   8,03907	   52,6297	
13.09.23	18:30:00	   7,96825	   53,5485	
13.09.23	18:35:00	   7,86813	   53,2387	
13.09.23	18:40:00	   7,76801	   54,1285	
13.09.23	18:45:00	   7,58974	   55,9493	
13.09.23	18:50:00	   7,92918	   54,1194	
13.09.23	18:55:00	   7,78999	   54,5589	
13.09.23	19:00:00	    8,3199	   50,3785	
13.09.23	19:05:00	   7,96825	   52,4786	
13.09.23	19:10:00	   7,64835	     54,04	
13.09.23	19:15:00	    8,1978	   51,3187	
13.09.23	19:20:00	   7,43834	   55,2289	
13.09.23	19:25:00	   7,96825	   52,3199	
13.09.23	19:30:00	   7,64835	   54,0186	
13.09.23	19:35:00	   7,78999	   52,6999	
13.09.23	19:40:00	   7,47985	   53,9499	
13.09.23	19:45:00	   7,79976	   53,2097	
13.09.23	19:50:00	   7,43834	   53,9789	
13.09.23	19:55:00	   7,26984	   54,6886	
13.09.23	20:00:00	   7,63858	   53,1685	
13.09.23	20:05:00	   7,26984	   54,8489	
13.09.23	20:10:00	   7,63858	   52,6587	
13.09.23	20:15:00	   7,33822	   53,9194	
13.09.23	20:20:00	   7,58974	   52,6786	
13.09.23	20:25:00	   7,56777	    52,909	
13.09.23	20:30:00	   7,33822	   53,5989	
13.09.23	20:35:00	   7,60928	    52,439	
13.09.23	20:40:00	   7,43834	   53,0098	
13.09.23	20:45:00	   6,94994	   54,6993	
13.09.23	20:50:00	   7,05983	   53,8889	
13.09.23	20:55:00	   6,94994	   53,9393	
13.09.23	21:00:00	   7,16972	   53,2189	
13.09.23	21:05:00	   7,43834	   51,5797	
13.09.23	21:10:00	   7,40904	   52,2085	
13.09.23	21:15:00	   7,61905	   51,7491	
13.09.23	21:20:00	   6,98901	   56,0394	
13.09.23	21:25:00	   6,91819	    56,859	
13.09.23	21:30:00	   6,56899	   56,8788	
13.09.23	21:35:00	   6,11966	   58,7988	
13.09.23	21:40:00	   6,57875	   56,5186	
13.09.23	21:45:00	   6,10989	   57,4191	
13.09.23	21:50:00	   7,02808	   54,0491	
13.09.23	21:55:00	   6,85958	     56,16	
13.09.23	22:00:00	    5,8779	   59,1194	
13.09.23	22:05:00	    6,1978	   58,6493	
13.09.23	22:10:00	   6,29792	   57,9991	
13.09.23	22:15:00	   6,26862	   58,6996	
13.09.23	22:20:00	   5,59951	    61,569	
13.09.23	22:25:00	   6,46886	   58,5592	
13.09.23	22:30:00	   6,08791	   59,4994	
13.09.23	22:35:00	   6,29792	   58,7592	
13.09.23	22:40:00	   6,04884	   60,0794	
13.09.23	22:45:00	    5,8779	   60,7891	
13.09.23	22:50:00	   6,05861	   59,9191	
13.09.23	22:55:00	   5,33822	   63,4799	
13.09.23	23:00:00	   5,74847	   60,6899	
13.09.23	23:05:00	   5,81929	   62,2589	
13.09.23	23:10:00	   5,66789	    62,819	
13.09.23	23:15:00	   5,35775	   63,5989	
13.09.23	23:20:00	   5,59951	   62,1993	
13.09.23	23:25:00	   5,25763	   64,5894	
13.09.23	23:30:00	   5,56777	   62,3489	
13.09.23	23:35:00	   5,77778	   62,4695	
13.09.23	23:40:00	   5,59951	   63,6493	
13.09.23	23:45:00	    5,7094	   62,6893	
13.09.23	23:50:00	   5,78999	   61,6789	
13.09.23	23:55:00	   5,71917	   61,9093	
14.09.23	00:00:00	   6,04884	   60,7494	
14.09.23	00:05:00	   5,53846	   62,3397	
14.09.23	00:10:00	   5,42857	   63,7393	
14.09.23	00:15:00	   5,78999	   62,2985	
14.09.23	00:20:00	   5,97802	   59,6398	
14.09.23	00:25:00	   5,95849	   60,1786	
14.09.23	00:30:00	   5,77778	   60,9096	
14.09.23	00:35:00	   5,78999	   60,4991	
14.09.23	00:40:00	   5,59951	   62,0788	
14.09.23	00:45:00	   5,91941	   61,4393	
14.09.23	00:50:00	   5,32845	   66,1691	
14.09.23	00:55:00	   4,84982	   68,3898	
14.09.23	01:00:00	   5,00855	   67,9594	
14.09.23	01:05:00	   4,67888	   69,2598	
14.09.23	01:10:00	   4,73993	    68,199	
14.09.23	01:15:00	   5,08913	   66,5186	
14.09.23	01:20:00	   4,87912	   67,9289	
14.09.23	01:25:00	   4,87912	   67,2589	
14.09.23	01:30:00	   5,01831	   67,0589	
14.09.23	01:35:00	   5,00855	   67,3397	
14.09.23	01:40:00	    4,8083	     68,75	
14.09.23	01:45:00	   4,70818	   68,4188	
14.09.23	01:50:00	   4,17827	   71,4988	
14.09.23	01:55:00	   4,07814	   71,2286	
14.09.23	02:00:00	   3,97802	   71,4896	
14.09.23	02:05:00	   4,39805	   69,1896	
14.09.23	02:10:00	   5,18926	     65,58	
14.09.23	02:15:00	   5,15995	   65,8593	
14.09.23	02:20:00	   4,98901	   66,7689	
14.09.23	02:25:00	   4,87912	   67,4588	
14.09.23	02:30:00	     4,779	    67,619	
14.09.23	02:35:00	   5,14774	    66,279	
14.09.23	02:40:00	   5,07937	   66,5888	
14.09.23	02:45:00	   4,67888	   69,6688	
14.09.23	02:50:00	   4,46886	   70,1099	
14.09.23	02:55:00	    4,8083	   68,1395	
14.09.23	03:00:00	    4,4884	   70,9188	
14.09.23	03:05:00	   3,85836	   81,0791	
14.09.23	03:10:00	   3,51893	   84,7787	
14.09.23	03:15:00	   3,57998	   79,8397	
14.09.23	03:20:00	   4,01954	   74,5696	
14.09.23	03:25:00	   4,67888	   71,7689	
14.09.23	03:30:00	   4,86935	    68,869	
14.09.23	03:35:00	   5,31868	   66,4499	
14.09.23	03:40:00	   4,76923	   68,2494	
14.09.23	03:45:00	   4,91819	   68,6386	
14.09.23	03:50:00	   4,55922	   70,3098	
14.09.23	03:55:00	   4,65934	   71,2393	
14.09.23	04:00:00	   4,66911	   70,7799	
14.09.23	04:05:00	    4,4884	   71,6285	
14.09.23	04:10:00	   4,55922	   70,9692	
14.09.23	04:15:00	   4,73993	   69,5192	
14.09.23	04:20:00	   4,73993	   69,2888	
14.09.23	04:25:00	   5,21856	   67,3092	
14.09.23	04:30:00	   4,46886	   70,6395	
14.09.23	04:35:00	   4,87912	   68,9896	
14.09.23	04:40:00	   4,52991	   70,5189	
14.09.23	04:45:00	   4,95971	   69,2888	
